hh_g02,unit,region,kg_convwt0,kg_convwt1
404,10C,2,.52,.2779231
404,10C,3,.66,.2180286
404,7,1,,.213
404,7,2,,.213
404,7,3,,.213
404,8,1,.16,.127
404,8,2,.25,.151875
404,8,3,.27,.0989118
404,9,1,.03,.0275
404,9,2,.03,.0275
404,9,3,.03,.0275
405,10,1,.26,.23925
405,10,2,.26,.2394286
405,10,3,.27,.1744074
405,8,1,.12,.1688654
405,8,2,.27,.292
405,8,3,.25,.2247647
405,9,1,,.1099
405,9,2,,.173
405,9,3,,.1101304
406,10,1,,.1455714
406,10,2,,.14425
406,10,3,,.1153714
406,6,1,,.072
406,6,2,,.072
406,6,3,,.072
406,7,1,,.089
406,7,2,,.089
406,7,3,,.089
406,8,1,,.207
406,8,2,,.1757778
406,8,3,,.1525714
407,10,1,.4,.1377273
407,10,2,.28,.1543889
407,10,3,.28,.1122
407,10A,1,.14,
407,10A,2,.11,
407,10A,3,.09,
407,10B,1,.4,
407,10B,2,.28,
407,10B,3,.28,
407,10C,1,.6899999999999999,
407,10C,2,.52,
407,10C,3,.66,
407,8,1,,.2031111
407,8,2,,.1456
407,8,3,,.0576667
408,10,1,.44,.4385385
408,10,2,.44,.4392903
408,10,3,.49,.4858684
408,10A,1,.22,.2455376
408,10A,2,.28,.206881
408,10A,3,.28,.2070674
408,10B,1,.44,.3761625
408,10B,2,.44,.31185
408,10B,3,.49,.3289556
408,10C,1,.72,.5797662
408,10C,2,.68,.5232078
408,10C,3,.66,.4787288
408,21,1,6.16,6.156
408,21,2,6.16,6.156
408,21,3,6.16,6.156
408,4,1,,1
408,4,2,,1
408,4,3,,1
408,9,1,.12,.1195
408,9,2,.11,.1134091
408,9,3,.12,.1216667
408,9A,1,.09,.0723333
408,9A,2,.08,.0853158
408,9A,3,.08,.0831714
408,9B,1,.12,.0946191
408,9B,2,.11,.1173182
408,9B,3,.12,.1123951
408,9C,1,.17,.153913
408,9C,2,.18,.1725
408,9C,3,.18,.1548767
409,10,1,,1
409,10,2,,1
409,10,3,,1
409,21,1,.75,
409,21,2,1.22,
409,21,3,.59,
409,9,1,.77,.2647
409,9,2,.47,.1202727
409,9,3,.5600000000000001,.28095
410,9,1,1.94,
410,9,2,1.43,
410,9,3,1.63,
410,9A,1,1.51,1.088333
410,9A,2,.96,1.258706
410,9A,3,1.2,1.177692
410,9B,1,1.94,1.510667
410,9B,2,1.43,1.918437
410,9B,3,1.63,1.880727
410,9C,1,2.57,2.019778
410,9C,2,2.39,2.926308
410,9C,3,2.45,3.0322
411,10,1,.11,
411,10,2,.21,
411,10,3,.2,
411,10A,1,.09,.1333143
411,10A,2,.14,.101
411,10A,3,.13,.0801633
